============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model inference         0.00%       0.000us         0.00%       0.000us       0.000us      76.505ms       641.92%      76.505ms      25.502ms           0 B           0 B           0 B           0 B             3  
## Call CompiledFxGraph fuyqfbbmde2paglpglp5ul5hufbi...         0.00%       0.000us         0.00%       0.000us       0.000us      44.192ms       370.80%      44.192ms       1.473ms           0 B           0 B           0 B           0 B            30  
                                               aten::mm         8.44%       7.101ms        12.09%      10.177ms      17.668us       5.565ms        46.69%       5.565ms       9.661us           0 B           0 B           0 B           0 B           576  
                     aten::_efficient_attention_forward         1.09%     920.107us         2.90%       2.444ms      33.947us       4.470ms        37.51%       4.470ms      62.088us       1.12 KB          24 B      24.51 MB     -48.52 MB            72  
fmha_cutlassF_bf16_aligned_32x128_gmem_sm80(PyTorchM...         0.00%       0.000us         0.00%       0.000us       0.000us       4.470ms        37.51%       4.470ms      62.088us           0 B           0 B           0 B           0 B            72  
## Call CompiledFxGraph f6ud74qu6ylpryh2hgzc2bkwyvef...         0.00%       0.000us         0.00%       0.000us       0.000us       4.035ms        33.86%       4.035ms       1.345ms           0 B           0 B           0 B           0 B             3  
## Call CompiledFxGraph fzpncvnl43xazscwnevm5jpv2n53...         0.00%       0.000us         0.00%       0.000us       0.000us       3.608ms        30.27%       3.608ms       1.203ms           0 B           0 B           0 B           0 B             3  
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.560ms        29.87%       3.560ms       8.298us           0 B           0 B           0 B           0 B           429  
               nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     739.271us         6.20%     739.271us      11.201us           0 B           0 B           0 B           0 B            66  
                    nvjet_tst_128x128_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     535.099us         4.49%     535.099us      17.837us           0 B           0 B           0 B           0 B            30  
triton_poi_fused__to_copy__unsafe_view_add_bmm_cat_c...         0.83%     702.358us         1.19%       1.005ms      15.222us     528.671us         4.44%     528.671us       8.010us           0 B           0 B           0 B           0 B            66  
triton_poi_fused__to_copy__unsafe_view_add_bmm_cat_c...         0.00%       0.000us         0.00%       0.000us       0.000us     528.671us         4.44%     528.671us       8.010us           0 B           0 B           0 B           0 B            66  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     437.374us         3.67%     437.374us      36.448us           0 B           0 B           0 B           0 B            12  
     triton_poi_fused__unsafe_view_cat_transpose_view_5         0.68%     572.312us         1.02%     862.334us      13.066us     252.127us         2.12%     252.127us       3.820us           0 B           0 B           0 B           0 B            66  
     triton_poi_fused__unsafe_view_cat_transpose_view_5         0.00%       0.000us         0.00%       0.000us       0.000us     252.127us         2.12%     252.127us       3.820us           0 B           0 B           0 B           0 B            66  
                                           aten::argmax         0.85%     716.159us         1.28%       1.075ms      29.872us     176.702us         1.48%     176.702us       4.908us           0 B           0 B      18.00 KB      18.00 KB            36  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     176.702us         1.48%     176.702us       4.908us           0 B           0 B           0 B           0 B            36  
triton_poi_fused__to_copy__unsafe_view_add_bmm_cat_c...         0.85%     719.371us         1.28%       1.076ms      14.941us     152.743us         1.28%     152.743us       2.121us           0 B           0 B           0 B           0 B            72  
triton_poi_fused__to_copy__unsafe_view_add_bmm_cat_c...         0.00%       0.000us         0.00%       0.000us       0.000us     152.743us         1.28%     152.743us       2.121us           0 B           0 B           0 B           0 B            72  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.86%     720.330us         1.21%       1.022ms      15.479us     132.995us         1.12%     132.995us       2.015us           0 B           0 B           0 B           0 B            66  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us     132.995us         1.12%     132.995us       2.015us           0 B           0 B           0 B           0 B            66  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     110.839us         0.93%     110.839us       1.679us           0 B           0 B           0 B           0 B            66  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us      99.965us         0.84%      99.965us       3.029us           0 B           0 B           0 B           0 B            33  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.91%     768.322us         1.33%       1.118ms      31.068us      92.802us         0.78%      92.802us       2.578us           0 B           0 B           0 B           0 B            36  
triton_red_fused__to_copy_add_embedding_mean_mul_pow...         0.00%       0.000us         0.00%       0.000us       0.000us      92.802us         0.78%      92.802us       2.578us           0 B           0 B           0 B           0 B            36  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.55%     462.682us         0.76%     640.119us      17.781us      91.868us         0.77%      91.868us       2.552us           0 B           0 B           0 B           0 B            36  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      91.868us         0.77%      91.868us       2.552us           0 B           0 B           0 B           0 B            36  
               triton_poi_fused__unsafe_view_mul_silu_8         0.70%     590.866us         1.03%     863.578us      13.085us      85.184us         0.71%      85.184us       1.291us           0 B           0 B           0 B           0 B            66  
               triton_poi_fused__unsafe_view_mul_silu_8         0.00%       0.000us         0.00%       0.000us       0.000us      85.184us         0.71%      85.184us       1.291us           0 B           0 B           0 B           0 B            66  
              nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      73.632us         0.62%      73.632us      24.544us           0 B           0 B           0 B           0 B             3  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.45%     380.099us         0.65%     543.237us      16.462us      68.607us         0.58%      68.607us       2.079us           0 B           0 B           0 B           0 B            33  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      68.607us         0.58%      68.607us       2.079us           0 B           0 B           0 B           0 B            33  
               triton_poi_fused__unsafe_view_mul_silu_6         0.07%      57.837us         0.10%      85.105us      14.184us      61.824us         0.52%      61.824us      10.304us           0 B           0 B           0 B           0 B             6  
               triton_poi_fused__unsafe_view_mul_silu_6         0.00%       0.000us         0.00%       0.000us       0.000us      61.824us         0.52%      61.824us      10.304us           0 B           0 B           0 B           0 B             6  
triton_poi_fused_add_arange_constant_pad_nd_expand_l...         0.53%     445.469us         0.87%     733.979us      11.650us      59.049us         0.50%      59.049us       0.937us           0 B           0 B           0 B           0 B            63  
triton_poi_fused_add_arange_constant_pad_nd_expand_l...         0.00%       0.000us         0.00%       0.000us       0.000us      59.049us         0.50%      59.049us       0.937us           0 B           0 B           0 B           0 B            63  
                                            aten::copy_         0.34%     285.795us         0.97%     817.878us      20.971us      47.967us         0.40%      47.967us       1.230us           0 B           0 B           0 B           0 B            39  
                  triton_poi_fused__to_copy_unsqueeze_1         0.47%     391.923us         0.68%     570.638us      15.851us      43.200us         0.36%      43.200us       1.200us           0 B           0 B           0 B           0 B            36  
                  triton_poi_fused__to_copy_unsqueeze_1         0.00%       0.000us         0.00%       0.000us       0.000us      43.200us         0.36%      43.200us       1.200us           0 B           0 B           0 B           0 B            36  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      43.199us         0.36%      43.199us       1.200us           0 B           0 B           0 B           0 B            36  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.08%      66.172us         0.11%      91.287us      15.215us      33.919us         0.28%      33.919us       5.653us           0 B           0 B           0 B           0 B             6  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      33.919us         0.28%      33.919us       5.653us           0 B           0 B           0 B           0 B             6  
triton_poi_fused__to_copy_arange_bmm_expand_unsqueez...         0.29%     245.649us         0.49%     408.834us      12.389us      31.266us         0.26%      31.266us       0.947us           0 B           0 B           0 B           0 B            33  
triton_poi_fused__to_copy_arange_bmm_expand_unsqueez...         0.00%       0.000us         0.00%       0.000us       0.000us      31.266us         0.26%      31.266us       0.947us           0 B           0 B           0 B           0 B            33  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.05%      39.249us         0.06%      54.071us      18.024us      16.320us         0.14%      16.320us       5.440us           0 B           0 B           0 B           0 B             3  
triton_red_fused__to_copy__unsafe_view_add_mean_mul_...         0.00%       0.000us         0.00%       0.000us       0.000us      16.320us         0.14%      16.320us       5.440us           0 B           0 B           0 B           0 B             3  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us       8.895us         0.07%       8.895us       2.965us           0 B           0 B           0 B           0 B             3  
triton_poi_fused_add_arange_expand_le_scalar_tensor_...         0.03%      24.721us         0.05%      38.590us      12.863us       4.864us         0.04%       4.864us       1.621us           0 B           0 B           0 B           0 B             3  
triton_poi_fused_add_arange_expand_le_scalar_tensor_...         0.00%       0.000us         0.00%       0.000us       0.000us       4.864us         0.04%       4.864us       1.621us           0 B           0 B           0 B           0 B             3  
                       Memcpy DtoH (Device -> Pageable)         0.00%       0.000us         0.00%       0.000us       0.000us       4.768us         0.04%       4.768us       1.589us           0 B           0 B           0 B           0 B             3  
           triton_poi_fused__to_copy_arange_unsqueeze_2         0.03%      25.641us         0.05%      42.233us      14.078us       2.688us         0.02%       2.688us       0.896us           0 B           0 B           0 B           0 B             3  
           triton_poi_fused__to_copy_arange_unsqueeze_2         0.00%       0.000us         0.00%       0.000us       0.000us       2.688us         0.02%       2.688us       0.896us           0 B           0 B           0 B           0 B             3  
                                          ProfilerStep*         0.16%     133.383us        99.99%      84.163ms      28.054ms       0.000us         0.00%      11.918ms       3.973ms           0 B           0 B           0 B           0 B             3  
                                        model inference         5.17%       4.356ms        99.83%      84.030ms      28.010ms       0.000us         0.00%      11.918ms       3.973ms           0 B      -1.41 KB           0 B    -999.56 MB             3  
                                            aten::empty         1.18%     997.303us         1.18%     997.303us       2.747us       0.000us         0.00%       0.000us       0.000us       1.10 KB       1.10 KB      73.03 MB      73.03 MB           363  
                               TorchDynamo Cache Lookup         4.72%       3.974ms         4.72%       3.974ms     110.395us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
