============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
Slow: 128 tokens in 0.96s (133.9 tok/s)
Token preview: [775, 1973, 97, 2453, 295, 695, 775, 866]

--- Part 2: Optimized ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                        model inference         0.00%       0.000us         0.00%       0.000us       0.000us      35.127ms       276.44%      35.127ms      11.709ms           0 B           0 B           0 B           0 B             3  
## Call CompiledFxGraph fyrrmoclfbxx72upnmopxl66mkyd...         0.00%       0.000us         0.00%       0.000us       0.000us      12.085ms        95.11%      12.085ms     366.222us           0 B           0 B           0 B           0 B            33  
                             Torch-Compiled Region: 0/0         7.27%       2.611ms        31.85%      11.446ms     346.842us       9.405ms        74.01%       9.453ms     286.441us           0 B           0 B           0 B           0 B            33  
fmha_cutlassF_bf16_aligned_32x128_gmem_sm80(PyTorchM...         0.00%       0.000us         0.00%       0.000us       0.000us       4.936ms        38.84%       4.936ms      68.552us           0 B           0 B           0 B           0 B            72  
                      nvjet_tst_64x8_64x16_4x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us       3.366ms        26.49%       3.366ms       7.793us           0 B           0 B           0 B           0 B           432  
                                               aten::mm         1.85%     665.911us         2.54%     911.584us      20.257us       1.007ms         7.93%       1.007ms      22.388us           0 B           0 B     264.02 MB     264.02 MB            45  
               nvjet_tst_64x8_64x16_2x1_v_bz_splitK_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     702.658us         5.53%     702.658us      10.646us           0 B           0 B           0 B           0 B            66  
                     aten::_efficient_attention_forward         0.19%      69.356us         0.49%     175.809us      29.301us     543.680us         4.28%     543.680us      90.613us          96 B           8 B      24.00 MB     -48.00 MB             6  
                    nvjet_tst_128x128_64x6_2x1_v_bz_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     543.614us         4.28%     543.614us      18.120us           0 B           0 B           0 B           0 B            30  
                                              aten::mul         1.01%     362.589us         1.79%     644.937us       9.772us     447.392us         3.52%     447.392us       6.779us           0 B           0 B     354.00 MB     354.00 MB            66  
              nvjet_tst_192x128_64x5_1x2_h_bz_coopB_TNT         0.00%       0.000us         0.00%       0.000us       0.000us     434.944us         3.42%     434.944us      36.245us           0 B           0 B           0 B           0 B            12  
                                            aten::copy_         1.50%     539.127us        14.07%       5.059ms      34.413us     286.137us         2.25%     286.137us       1.947us           0 B           0 B           0 B           0 B           147  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     278.848us         2.19%     278.848us       7.150us           0 B           0 B           0 B           0 B            39  
                                           aten::argmax         1.64%     590.510us         2.50%     899.834us      24.995us     176.064us         1.39%     176.064us       4.891us           0 B           0 B      18.00 KB      18.00 KB            36  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     176.064us         1.39%     176.064us       4.891us           0 B           0 B           0 B           0 B            36  
                                              aten::add         0.59%     211.673us         1.11%     400.604us      10.272us     154.370us         1.21%     154.370us       3.958us           0 B           0 B      96.06 MB      96.06 MB            39  
                                              aten::cat         0.41%     149.081us         0.66%     238.323us      15.888us     134.627us         1.06%     134.627us       8.975us           0 B           0 B      51.00 MB      51.00 MB            15  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us     124.516us         0.98%     124.516us      10.376us           0 B           0 B           0 B           0 B            12  
                                      aten::index_copy_         0.24%      86.950us         0.44%     156.724us      13.060us     110.111us         0.87%     110.111us       9.176us           0 B           0 B           0 B           0 B            12  
void at::native::index_elementwise_kernel<128, 4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     110.111us         0.87%     110.111us       9.176us           0 B           0 B           0 B           0 B            12  
void at::native::unrolled_elementwise_kernel<at::nat...         0.00%       0.000us         0.00%       0.000us       0.000us     107.837us         0.85%     107.837us       5.135us           0 B           0 B           0 B           0 B            21  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us     107.585us         0.85%     107.585us       3.260us           0 B           0 B           0 B           0 B            33  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     102.138us         0.80%     102.138us       1.548us           0 B           0 B           0 B           0 B            66  
