============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                            aten::empty         0.41%       1.122ms         0.41%       1.122ms       2.226us       0.000us         0.00%       0.000us       0.000us       1.11 KB       1.11 KB     581.41 MB     581.41 MB           504  
                                          aten::resize_         0.09%     246.865us         0.09%     246.865us       3.429us       0.000us         0.00%       0.000us       0.000us           0 B           0 B     289.84 MB     289.84 MB            72  
                                           aten::expand         0.14%     396.625us         0.22%     593.157us       4.119us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           144  
                                       aten::as_strided         0.60%       1.654ms         0.60%       1.654ms       0.806us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2052  
                                       cudaLaunchKernel         4.53%      12.501ms         4.53%      12.501ms       4.693us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          2664  
                                        aten::unsqueeze         0.31%     845.587us         0.38%       1.060ms       3.273us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           324  
                                               aten::to         0.22%     607.083us         0.96%       2.648ms       2.829us       0.000us         0.00%      93.087us       0.099us           0 B           0 B     160.50 KB           0 B           936  
                                         aten::_to_copy         0.25%     690.333us         0.74%       2.041ms      11.338us       0.000us         0.00%      93.087us       0.517us           0 B           0 B     160.50 KB           0 B           180  
                                           aten::matmul         0.87%       2.398ms         7.86%      21.685ms      37.647us       0.000us         0.00%     205.827ms     357.338us           0 B           0 B       6.80 GB           0 B           576  
                                 cudaDeviceGetAttribute         0.01%      29.389us         0.01%      29.389us       0.816us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                         cuLaunchKernel         0.07%     189.479us         0.07%     189.479us       5.263us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B            36  
                                     aten::_unsafe_view         0.38%       1.046ms         0.38%       1.046ms       1.815us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           576  
                                        aten::transpose         0.86%       2.377ms         1.19%       3.270ms       2.839us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B          1152  
                                      aten::result_type         0.04%     110.411us         0.04%     110.411us       0.613us       0.000us         0.00%       0.000us       0.000us           0 B           0 B           0 B           0 B           180  
