============================================================
HW2: LLM Inference Optimization
Model: Tiny random Llama (2 layers, d_model=2048)
============================================================

--- Part 1: Slow baseline ---
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
                                                   Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg     Self CUDA   Self CUDA %    CUDA total  CUDA time avg       CPU Mem  Self CPU Mem      CUDA Mem  Self CUDA Mem    # of Calls  
-------------------------------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  ------------  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     325.239us         2.35%     325.239us       1.291us           0 B           0 B           0 B           0 B           252  
                                              aten::neg         0.85%     974.237us         1.41%       1.617ms      11.229us     312.636us         2.26%     312.636us       2.171us           0 B           0 B      24.26 MB      24.26 MB           144  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us     312.636us         2.26%     312.636us       2.171us           0 B           0 B           0 B           0 B           144  
                                              aten::pow         1.55%       1.778ms         2.39%       2.743ms      15.237us     248.348us         1.79%     248.348us       1.380us           0 B           0 B     121.29 MB     121.29 MB           180  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     248.348us         1.79%     248.348us       1.380us           0 B           0 B           0 B           0 B           180  
                                            aten::rsqrt         1.14%       1.305ms         1.80%       2.061ms      11.453us     242.113us         1.75%     242.113us       1.345us           0 B           0 B     142.50 KB     142.50 KB           180  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     242.113us         1.75%     242.113us       1.345us           0 B           0 B           0 B           0 B           180  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us     226.880us         1.64%     226.880us       1.260us           0 B           0 B           0 B           0 B           180  
void pytorch_flash::flash_fwd_splitkv_kernel<Flash_f...         0.00%       0.000us         0.00%       0.000us       0.000us     207.998us         1.50%     207.998us      34.666us           0 B           0 B           0 B           0 B             6  
                                           aten::argmax         0.39%     447.171us         0.60%     684.280us      19.008us     172.255us         1.24%     172.255us       4.785us           0 B           0 B      18.00 KB      18.00 KB            36  
void at::native::reduce_kernel<512, 1, at::native::R...         0.00%       0.000us         0.00%       0.000us       0.000us     172.255us         1.24%     172.255us       4.785us           0 B           0 B           0 B           0 B            36  
                                             aten::silu         0.49%     562.102us         0.80%     916.413us      12.728us     156.445us         1.13%     156.445us       2.173us           0 B           0 B      72.77 MB      72.77 MB            72  
void at::native::vectorized_elementwise_kernel<8, at...         0.00%       0.000us         0.00%       0.000us       0.000us     156.445us         1.13%     156.445us       2.173us           0 B           0 B           0 B           0 B            72  
void cublasLt::splitKreduce_kernel<32, 16, int, floa...         0.00%       0.000us         0.00%       0.000us       0.000us     110.885us         0.80%     110.885us       1.680us           0 B           0 B           0 B           0 B            66  
                                              aten::bmm         0.92%       1.051ms         1.11%       1.271ms      35.298us     108.091us         0.78%     108.091us       3.003us           0 B           0 B       1.52 MB       1.52 MB            36  
void cutlass::Kernel2<cutlass_80_simt_sgemm_128x32_8...         0.00%       0.000us         0.00%       0.000us       0.000us      99.035us         0.71%      99.035us       3.001us           0 B           0 B           0 B           0 B            33  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      88.859us         0.64%      88.859us       1.234us           0 B           0 B           0 B           0 B            72  
void at::native::elementwise_kernel<128, 4, at::nati...         0.00%       0.000us         0.00%       0.000us       0.000us      87.263us         0.63%      87.263us       7.272us           0 B           0 B           0 B           0 B            12  
              nvjet_tst_256x128_64x4_1x2_h_bz_coopA_TNT         0.00%       0.000us         0.00%       0.000us       0.000us      73.951us         0.53%      73.951us      24.650us           0 B           0 B           0 B           0 B             3  
                                              aten::cos         0.23%     261.476us         0.39%     444.885us      12.358us      73.500us         0.53%      73.500us       2.042us           0 B           0 B       3.03 MB       3.03 MB            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      73.500us         0.53%      73.500us       2.042us           0 B           0 B           0 B           0 B            36  
                                              aten::sin         0.18%     211.524us         0.33%     373.037us      10.362us      71.326us         0.51%      71.326us       1.981us           0 B           0 B       3.03 MB       3.03 MB            36  
void at::native::vectorized_elementwise_kernel<4, at...         0.00%       0.000us         0.00%       0.000us       0.000us      71.326us         0.51%      71.326us       1.981us           0 B           0 B           0 B           0 B            36  
                                     aten::index_select         0.35%     402.704us         0.84%     958.988us      26.639us      67.394us         0.49%      79.234us       2.201us           0 B           0 B      12.13 MB           0 B            36  
void at::native::(anonymous namespace)::indexSelectS...         0.00%       0.000us         0.00%       0.000us       0.000us      67.394us         0.49%      67.394us       2.042us           0 B           0 B           0 B           0 B            33  
void pytorch_flash::flash_fwd_splitkv_combine_kernel...         0.00%       0.000us         0.00%       0.000us       0.000us      52.991us         0.38%      52.991us       8.832us           0 B           0 B           0 B           0 B             6  
void at::native::(anonymous namespace)::CatArrayBatc...         0.00%       0.000us         0.00%       0.000us       0.000us      46.848us         0.34%      46.848us       1.420us           0 B           0 B           0 B           0 B            33  
                         Memcpy DtoD (Device -> Device)         0.00%       0.000us         0.00%       0.000us       0.000us      43.996us         0.32%      43.996us       1.222us           0 B           0 B           0 B           0 B            36  
